algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
BLoCNet,2.735,64.128,0.970,0.970,0.970,0.970,0.970,0.950,0.945,0.950,0.030,0.030,0.047,0.084,0.290,0.788,84.265
constructive_learning,0.017,0.420,0.985,0.985,0.985,0.985,0.985,0.975,0.971,0.975,0.015,0.015,0.025,0.045,0.213,0.873,91.499
AIS,0.428,9.557,0.991,0.990,0.991,0.990,0.990,0.985,0.982,0.985,0.009,0.009,0.016,0.031,0.175,0.826,94.303
GBBK,0.044,0.102,0.363,0.685,0.363,0.294,0.323,0.236,0.194,0.184,0.637,0.637,0.921,1.613,1.270,0.509,-166.928
GE SVM,4.012,9.798,0.966,0.965,0.966,0.964,0.964,0.943,0.936,0.943,0.034,0.034,0.054,0.096,0.311,0.706,82.113
Hidden Naive Bayes (HNB),0.025,0.107,0.363,0.685,0.363,0.294,0.323,0.236,0.194,0.184,0.637,0.637,0.921,1.613,1.270,0.509,-166.928
HistGradientBoostingClassifier,0.126,10.565,0.984,0.988,0.984,0.986,0.987,0.974,0.974,0.974,0.016,0.016,0.030,0.069,0.263,0.835,87.035
IGRF-RFE with k-fold Cross-Validation,0.004,0.304,0.984,0.984,0.984,0.984,0.984,0.973,0.969,0.973,0.016,0.016,0.026,0.049,0.222,0.872,90.819
ICA,0.484,36.393,0.982,0.981,0.982,0.981,0.981,0.969,0.965,0.969,0.018,0.018,0.028,0.048,0.220,0.822,91.005
Lasso Regression,0.020,163.992,0.923,0.916,0.923,0.917,0.915,0.870,0.862,0.869,0.077,0.077,0.108,0.174,0.417,0.627,67.842
Meta (KNN),7.142,0.455,0.979,0.978,0.979,0.979,0.978,0.965,0.960,0.965,0.021,0.021,0.032,0.056,0.236,0.793,89.590
T-SNE Random Forest (T-SNERF) with k-fold Cross-Validation,0.370,371.688,0.655,0.630,0.655,0.632,0.628,0.397,0.491,0.387,0.345,0.345,0.473,0.784,0.885,0.312,-46.505
Projected Gradient Descent (PGD),0.022,54.420,0.968,0.967,0.968,0.967,0.967,0.947,0.940,0.947,0.032,0.032,0.049,0.088,0.296,0.759,83.670
PCA,0.008,3.271,0.969,0.969,0.969,0.969,0.969,0.947,0.942,0.947,0.031,0.031,0.049,0.090,0.300,0.799,83.161
RBF,5.130,12.902,0.967,0.965,0.967,0.964,0.964,0.944,0.937,0.944,0.033,0.033,0.053,0.096,0.310,0.697,82.190
Stacked Convolutional Neural Networks with k-fold Cross-Validation,3.450,91.677,0.971,0.969,0.971,0.970,0.969,0.951,0.945,0.951,0.029,0.029,0.047,0.087,0.295,0.720,83.755
Simulated Annealing (SA),0.002,45.046,0.800,0.707,0.800,0.749,0.723,0.655,0.659,0.640,0.200,0.200,0.331,0.607,0.779,0.364,-1.696
SVM with Optimization and k-fold Cross-Validation,1.361,48.892,0.933,0.926,0.933,0.926,0.924,0.886,0.877,0.886,0.067,0.067,0.097,0.161,0.401,0.654,70.391
Stacking Classifier,1.088,68.796,0.986,0.986,0.986,0.986,0.986,0.976,0.973,0.976,0.014,0.014,0.023,0.043,0.207,0.810,91.991
Stacking Dilated Convolutional Autoencoders,0.025,3.341,0.984,0.984,0.984,0.984,0.984,0.973,0.970,0.973,0.016,0.016,0.026,0.050,0.224,0.802,90.630
Temporal Deep Feedforward Neural Network,3.281,79.423,0.946,0.924,0.946,0.933,0.926,0.909,0.898,0.907,0.054,0.054,0.085,0.150,0.387,0.576,72.571
Voting Classifier,0.203,0.918,0.985,0.985,0.985,0.985,0.985,0.974,0.971,0.974,0.015,0.015,0.025,0.046,0.214,0.882,91.461
GBT,0.308,128.591,0.989,0.989,0.989,0.989,0.989,0.981,0.978,0.981,0.011,0.011,0.018,0.033,0.182,0.901,93.834
CART,0.014,172.451,0.752,0.703,0.752,0.701,0.695,0.589,0.585,0.527,0.248,0.248,0.281,0.351,0.593,0.332,34.561
